Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE_LINK,-0.0758617,0.00012334,-0.00058428,0,0,0,12.74,0.20278569,-1.98E-04,0.00485288,0.26065727,4.58E-04,0.16120647,0,0,0,0,0,0,package://TH02.9/meshes/BASE_LINK.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02.9/meshes/BASE_LINK.STL,,TH02-BODY-DUMMY-Simplified-2;TH02.9-HIP-PITCH-1/Crossed_Roller_Bearing_208-1,BODY,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
UPPERSHOULDER_R,0.00158,0.00121,-0.00674,0,0,0,0.43611,0.000385927,-2.60E-07,9.81E-07,0.000304132,5.57E-06,0.000234707,0,0,0,0,0,0,package://TH02.9/meshes/UPPERSHOULDER_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02.9/meshes/UPPERSHOULDER_R.STL,,TH02-ARM-7DoF-Dummy-2/TH02-UPPER_SHOULDER-1,SHOULDER_PITCH_R,SHOULDER_PITCH_R_AXIS,SHOULDER_PITCH_R,revolute,-0.065084608,-0.1567,0.113474882,1.570796327,0,0,BASE_LINK,0,0,1,0,0,0,0,,,,,,,,
LOWERSHOULDER_R,0.0535,-6.00E-05,2.00E-05,0,0,0,0.35798,0.000261,-1.67E-06,2.50E-07,0.001315,-1.55E-08,0.001242,0,0,0,0,0,0,package://TH02.9/meshes/LOWERSHOULDER_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02.9/meshes/LOWERSHOULDER_R.STL,,TH02-ARM-7DoF-Dummy-2/TH02-LOWER_SHOULDER-1,SHOULDER_ROLL_R,SHOULDER_ROLL_R_AXIS,SHOULDER_ROLL_R,revolute,0,0,0,0,-1.570796327,3.141592653,UPPERSHOULDER_R,0,0,-1,0,0,0,0,,,,,,,,
UPPERARM_R,-0.00152,-0.0104,0.1973,0,0,0,0.51544,0.021671894,1.03E-05,-0.0001758,0.021508856,-0.001195001,0.000365708,0,0,0,0,0,0,package://TH02.9/meshes/UPPERARM_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02.9/meshes/UPPERARM_R.STL,,TH02-ARM-7DoF-Dummy-2/TH02-UPPERARM-1,SHOULDER_YAW_R,SHOULDER_YAW_R_AXIS,SHOULDER_YAW_R,revolute,0,0,0,0,-1.570796327,3.141592653,LOWERSHOULDER_R,0,0,1,0,0,0,0,,,,,,,,
ELBOW_R,0.05387,-0.01441,1.00E-05,0,0,0,0.37853,0.000368755,-0.000307924,-2.21E-07,0.001430606,-3.69E-07,0.00143177,0,0,0,0,0,0,package://TH02.9/meshes/ELBOW_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02.9/meshes/ELBOW_R.STL,,TH02-ARM-7DoF-Dummy-2/TH02-ELBOW-1,ELBOW_PITCH_R,ELBOW_PITCH_R_AXIS,ELBOW_PITCH_R,revolute,0,-0.015,0.22495,0,-1.570796327,3.141592653,UPPERARM_R,0,0,-1,0,0,0,0,,,,,,,,
FOREARM_R,-0.00164,1.00E-05,-0.01407,0,0,0,0.47694,0.000684321,-2.15E-07,4.70E-06,0.000600813,-1.32E-07,0.000265071,0,0,0,0,0,0,package://TH02.9/meshes/FOREARM_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02.9/meshes/FOREARM_R.STL,,TH02-ARM-7DoF-Dummy-2/TH02-FOREARM-1,ELBOW_YAW_R,ELBOW_YAW_R_AXIS,ELBOW_YAW_R,revolute,0.154950006,-0.015000026,0,0,-1.570796327,3.141592653,ELBOW_R,0,0,1,0,0,0,0,,,,,,,,
WRIST_R,0.05463,-0.00013,9.00E-05,0,0,0,0.37004,0.000277159,-3.87E-06,2.51E-06,0.001412655,5.51E-08,0.001337476,0,0,0,0,0,0,package://TH02.9/meshes/WRIST_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02.9/meshes/WRIST_R.STL,,TH02-ARM-7DoF-Dummy-2/TH02-WRIST-1,WRIST_PITCH_R,WRIST_PITCH_R_AXIS,WRIST_PITCH_R,revolute,0,0,0,3.141592653,-1.570796327,0,FOREARM_R,0,0,1,0,0,0,0,,,,,,,,
PALM_R,0.00201,0.00082,-0.02323,0,0,0,0.20633,0.00014,0,0,0.00018,0.00001,0.00023,0,0,0,0,0,0,package://TH02.9/meshes/PALM_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02.9/meshes/PALM_R.STL,,TH02-ARM-7DoF-Dummy-2/WRIST_SHAFT-1;TH02-ARM-7DoF-Dummy-2/EN02-OP-Dummy-1/EN02-OP-PALM-Dummy-1,WRIST_YAW_R,WRIST_YAW_R_AXIS,WRIST_YAW,revolute,0.13295,0,0,3.141592653,-1.570796327,0,WRIST_R,0,0,-1,0,0,0,0,,,,,,,,
INDEX_BASE_R,0.01752,0.00639,-0.00205,0,0,0,0.0227,0,0,0,0.00001,0,0.00001,0,0,0,0,0,0,package://TH02.9/meshes/INDEX_BASE_R.STL,0.898039216,0.917647059,0.929411765,1,0,0,0,0,0,0,package://TH02.9/meshes/INDEX_BASE_R.STL,,TH02-ARM-7DoF-Dummy-2/EN02-OP-Dummy-1/EN02-OP-INDEX-PROXIMAL-Dummy-1,PALM_AXIAL_R,PALM_AXIAL_R_AXIS,PALM_AXIAL_R,revolute,0.024532,-0.008,-0.0115,3.141592653,0,1.5708,PALM_R,0,0,-1,0,0,0,0,,,,,,,,
INDEX_PROXIMAL_R,0.01634,0.00059,0.00045,0,0,0,0.03741,0,0,0,0.00001,0,0.00001,0,0,0,0,0,0,package://TH02.9/meshes/INDEX_PROXIMAL_R.STL,1,1,1,0.5,0,0,0,0,0,0,package://TH02.9/meshes/INDEX_PROXIMAL_R.STL,,TH02-ARM-7DoF-Dummy-2/EN02-OP-Dummy-1/EN02-OP-INDEX-MIDDLE-Dummy-1,INDEX_MCP_PITCH_R,INDEX_MCP_PITCH_R_AXIS,INDEX_MCP_PITCH_R,revolute,0.04,0.008,-0.008,-1.5708,0,0,INDEX_BASE_R,0,0,-1,0,0,0,0,,,,,,,,
