Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE_LINK,-0.08171,7.40E-05,-0.01979,0,0,0,12.72953,0.257062,-0.000133,0.031411,0.316902,0.000321,0.173619,0,0,0,0,0,0,package://TH02/meshes/BASE_LINK.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/BASE_LINK.STL,,TH01-HIPBASE_DUMMY-1;TH02-HIP_BODY_RACK_RevA-1;TH02-BODY-DUMMY-2,BODY,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
HIP_R,0.00398,-0.00006,0.00636,0,0,0,0.83264,0.0019,0,0,0.00124,0,0.00094,0,0,0,0,0,0,package://TH02/meshes/HIP_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/HIP_R.STL,,TH01-ABAD_DUMMY-2,HIP_YAW_R,HIP_YAW_R_AXIS,HIP_YAW_R,revolute,-0.18337794,-0.0625,-0.28837794,0,0.785398163,0,BASE_LINK,0,0,1,0,0,0,0,,,,,,,,
HIP_ABAD_R,-0.002,0.00147,0.00404,0,0,0,2.78794,0.01442,0,-0.00002,0.00791,0,0.0072,0,0,0,0,0,0,package://TH02/meshes/HIP_ABAD_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/HIP_ABAD_R.STL,,TH01-HIPPITCH_DUMMY-2,HIP_ROLL_R,HIP_ROLL_R_AXIS,HIP_ROLL_R,revolute,0.141,0,0,1.570796327,0,-1.570796327,HIP_R,0,0,1,0,0,0,0,,,,,,,,
FEMUR_R,0.06111,0.00174,0.02002,0,0,0,3.75384,0.01172,0.00157,0.00098,0.07026,0.00014,0.07594,0,0,0,0,0,0,package://TH02/meshes/FEMUR_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/FEMUR_R.STL,,TH01-FEMUR_R_DUMMY-1,HIP_PITCH_R,HIP_PITCH_R_AXIS,HIP_PITCH_R,revolute,0.029,0,0,-1.570796327,0.785398163,-1.570796327,HIP_ABAD_R,0,0,-1,0,0,0,0,,,,,,,,
TIBIA_R,0.09678,0.00694,-0.00006,0,0,0,1.27716,0.00091,0.00069,-0.00001,0.02323,0,0.02318,0,0,0,0,0,0,package://TH02/meshes/TIBIA_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/TIBIA_R.STL,,TH01-TIBIA_DUMMY-2,KNEE_PITCH_R,KNEE_PITCH_R_AXIS,KNEE_PITCH_R,revolute,0.375,0,0,0,0,0,FEMUR_R,0,0,1,0,0,0,0,,,,,,,,
ANKLE_R,0,0,0,0,0,0,0.006946,0.00000076,0,0,0.00000076,0,0.00000004,0,0,0,0,0,0,package://TH02/meshes/ANKLE_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/ANKLE_R.STL,,TH01-ANKLE_DUMMY-2,ANKLE_PITCH_R,ANKLE_PITCH_R_AXIS,ANKLE_PITCH_R,revolute,0.375,0,0,0,0,0,TIBIA_R,0,0,1,0,0,0,0,,,,,,,,
FOOT_R,0.0337,5.00E-05,0.04684,0,0,0,0.41628,0.002594,9.89E-07,0.000725,0.002998,1.24E-06,0.000722,0,0,0,0,0,0,package://TH02/meshes/FOOT_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/FOOT_R.STL,,TH01-FOOT_DUMMY_Detailed-1,ANKLE_ROLL_R,ANKLE_ROLL_R_AXIS,ANKLE_ROLL_R,revolute,0,0,0,-1.570796327,0,0,ANKLE_R,0,0,1,0,0,0,0,,,,,,,,
HIP_L,0.00398,-0.00006,0.00636,0,0,0,0.83264,0.0019,0,0,0.00124,0,0.00094,0,0,0,0,0,0,package://TH02/meshes/HIP_L.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/HIP_L.STL,,TH01-ABAD_DUMMY-1,HIP_YAW_L,HIP_YAW_L_AXIS,HIP_YAW_L,revolute,-0.18337794,0.0625,-0.28837794,0,0.785398163,0,BASE_LINK,0,0,1,0,0,0,0,,,,,,,,
HIP_ABAD_L,0.00198,0.00146,0.00395,0,0,0,2.818,0.01442,0,0.00002,0.00791,0,0.0072,0,0,0,0,0,0,package://TH02/meshes/HIP_ABAD_L.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/HIP_ABAD_L.STL,,TH01-HIPPITCH_DUMMY-1,HIP_ROLL_L,HIP_ROLL_L_AXIS,HIP_ROLL_L,revolute,0.141,0,0,1.570796327,0,-1.570796327,HIP_L,0,0,1,0,0,0,0,,,,,,,,
FEMUR_L,0.06112,0.00177,-0.02002,0,0,0,3.75393,0.01172,0.00157,-0.00098,0.07027,-0.00014,0.07595,0,0,0,0,0,0,package://TH02/meshes/FEMUR_L.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/FEMUR_L.STL,,TH01-FEMUR_DUMMY-1,HIP_PITCH_L,HIP_PITCH_L_AXIS,HIP_PITCH_L,revolute,-0.029,0,0,-1.570796327,0.785398163,-1.570796327,HIP_ABAD_L,0,0,1,0,0,0,0,,,,,,,,
TIBIA_L,0.09678,0.00694,-0.00006,0,0,0,1.27716,0.00091,0.00069,-0.00001,0.02323,0,0.02318,0,0,0,0,0,0,package://TH02/meshes/TIBIA_L.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/TIBIA_L.STL,,TH01-TIBIA_DUMMY-1,KNEE_PITCH_L,KNEE_PITCH_L_AXIS,KNEE_PITCH_L,revolute,0.375,0,0,0,0,0,FEMUR_L,0,0,1,0,0,0,0,,,,,,,,
ANKLE_L,0,0,0,0,0,0,0.006946,0,0,0,0,0,0,0,0,0,0,0,0,package://TH02/meshes/ANKLE_L.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/ANKLE_L.STL,,TH01-ANKLE_DUMMY-1,ANKLE_PITH_L,ANKLE_PITCH_L_AXIS,ANKLE_PITCH_L,revolute,0.375,0,0,0,0,0,TIBIA_L,0,0,1,0,0,0,0,,,,,,,,
FOOT_L,0.0337,5.00E-05,0.04684,0,0,0,0.41628,0.002594,9.89E-07,0.000725,0.002998,1.24E-06,0.000722,0,0,0,0,0,0,package://TH02/meshes/FOOT_L.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/FOOT_L.STL,,TH01-FOOT_DUMMY_Detailed-2,ANKLE_ROLL_L,ANKLE_ROLL_L_AXIS,ANKLE_ROLL_L,revolute,0,0,0,-1.570796327,0,0,ANKLE_L,0,0,1,0,0,0,0,,,,,,,,
UPPERSHOULDER_R,0.00158,0.00121,-0.00674,0,0,0,0.43611,0.000385927,-2.60E-07,9.81E-07,0.000304132,5.57E-06,0.000234707,0,0,0,0,0,0,package://TH02/meshes/UPPERSHOULDER_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/UPPERSHOULDER_R.STL,,TH01-UPPERSHOULDER_R_DUMMY-1,SHOULDER_PITCH_R,SHOULDER_PITCH_R_AXIS,SHOULDER_PITCH_R,revolute,-0.065084608,-0.15535,0.113561485,1.570796327,0,0,BASE_LINK,0,0,-1,0,0,0,0,,,,,,,,
LOWERSHOULDER_R,0.0535,-6.00E-05,2.00E-05,0,0,0,0.35798,0.000261,-1.67E-06,2.50E-07,0.001315,-1.55E-08,0.001242,0,0,0,0,0,0,package://TH02/meshes/LOWERSHOULDER_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/LOWERSHOULDER_R.STL,,TH01-LOWERSHOULDER_DUMMY-2,SHOULDER_ROLL_R,SHOULDER_ROLL_R_AXIS,SHOULDER_ROLL_R,revolute,0,0,0,0,-1.570796327,3.141593,UPPERSHOULDER_R,0,0,1,0,0,0,0,,,,,,,,
UPPERARM_R,0.004391,0.007789,0.18161,0,0,0,0.948095,0.033942,-3.00E-06,0.000623,0.033879,0.00158,0.000789,0,0,0,0,0,0,package://TH02/meshes/UPPERARM_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/UPPERARM_R.STL,,TH02-UPPERARM_DUMMY-1,SHOULDER_YAW_R,SHOULDER_YAW_R_AXIS,SHOULDER_YAW_R,revolute,0,0,0,0,-1.570796327,3.141593,LOWERSHOULDER_R,0,0,-1,0,0,0,0,,,,,,,,
