Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE_LINK,-0.00032432,-1.7138E-06,0.034934,0,0,0,1.5125,0.0054959,-2.6586E-08,0.00051296,0.0016528,-4.005E-09,0.0055656,0,0,0,0,0,0,package://TH01/meshes/BASE_LINK.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH01/meshes/BASE_LINK.STL,,TH01-HIPBASE_DUMMY-1;AR01_BODY_FRAMEWORK-107-1;AR01-HIP_BODY_RACK_RevA-1,HIP_BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
HIP_R,0.00070388,1.163E-09,0.0023587,0,0,0,0.53262,0.00095922,3.4974E-10,8.8324E-07,0.00061429,4.5218E-10,0.00053874,0,0,0,0,0,0,package://TH01/meshes/HIP_R.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH01/meshes/HIP_R.STL,,TH01-ABAD_DUMMY-2,HIP_YAW_R,HIP_YAW_R_AXIS,HIP_YAW_R,revolute,-0.082378,-0.0625,-0.082378,0,0.7854,0,BASE_LINK,0,0,1,0,0,0,0,,,,,,,,
HIP_ABAD_R,-0.00090646,1.9266E-08,0.0026625,0,0,0,1.5072,0.0063693,-2.7271E-10,6.0721E-07,0.0037857,-2.4133E-09,0.0033911,0,0,0,0,0,0,package://TH01/meshes/HIP_ABAD_R.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH01/meshes/HIP_ABAD_R.STL,,TH01-HIPPITCH_DUMMY-2,HIP_ROLL_R,HIP_ROLL_R_AXIS,HIP_ROLL_R,revolute,0.141,0,0,1.5708,0,-1.5708,HIP_R,0,0,1,0,0,0,0,,,,,,,,
FEMUR_R,0.11352,0.012931,0.024704,0,0,0,2.9799,0.0063149,-0.0024972,0.0038808,0.048482,0.00013252,0.052755,0,0,0,0,0,0,package://TH01/meshes/FEMUR_R.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH01/meshes/FEMUR_R.STL,,TH01-FEMUR_R_DUMMY-1,HIP_PITCH_R,HIP_PITCH_R_AXIS,HIP_PITCH_R,revolute,0.029,0,0,-1.5708,0.7854,-1.5708,HIP_ABAD_R,0,0,-1,0,0,0,0,,,,,,,,
TIBIA_R,0.14155,-1.6653E-16,-1.3878E-16,0,0,0,0.47789,0.00011453,-6.5391E-19,-1.7034E-19,0.0068384,-4.8168E-21,0.0068573,0,0,0,0,0,0,package://TH01/meshes/TIBIA_R.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH01/meshes/TIBIA_R.STL,,TH01-TIBIA_DUMMY-2,KNEE_PITCH_R,KNEE_PITCH_R_AXIS,KNEE_PITCH_R,revolute,0.375,0,0,0,0,0,FEMUR_R,0,0,1,0,0,0,0,,,,,,,,
ANKLE_R,-1.9412E-08,-1.1903E-07,-1.3285E-09,0,0,0,0.015159,1.6782E-06,5.9107E-12,-2.7967E-14,1.487E-06,-1.7347E-12,1.4133E-06,0,0,0,0,0,0,package://TH01/meshes/ANKLE_R.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH01/meshes/ANKLE_R.STL,,TH01-ANKLE_DUMMY-2,ANKLE_PITCH_R,ANKLE_PITCH_R_AXIS,ANKLE_PITCH_R,revolute,0.375,0,0,0,0,0,TIBIA_R,0,0,1,0,0,0,0,,,,,,,,
FOOT_R,0.031776,-1.0408E-16,0.040697,0,0,0,0.061854,0.00018157,8.5105E-21,-5.8007E-06,0.00016508,7.9672E-20,2.5049E-05,0,0,0,0,0,0,package://TH01/meshes/FOOT_R.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH01/meshes/FOOT_R.STL,,TH01-FOOT_DUMMY-2,ANKLE_ROLL_R,ANKLE_ROLL_R_AXIS,ANKLE_ROLL_R,revolute,0,0,0,-1.5708,0,0,ANKLE_R,0,0,1,0,0,0,0,,,,,,,,
HIP_L,0.00070388,1.163E-09,0.0023587,0,0,0,0.53262,0.00095922,3.4974E-10,8.8324E-07,0.00061429,4.5218E-10,0.00053874,0,0,0,0,0,0,package://TH01/meshes/HIP_L.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH01/meshes/HIP_L.STL,,TH01-ABAD_DUMMY-1,HIP_YAW_L,HIP_YAW_L_AXIS,HIP_YAW_L,revolute,-0.082378,0.0625,-0.082378,0,0.7854,0,BASE_LINK,0,0,1,0,0,0,0,,,,,,,,
HIP_ABAD_L,-0.00090646,1.9266E-08,0.0026625,0,0,0,1.5072,0.0063693,-2.7271E-10,6.0721E-07,0.0037857,-2.4133E-09,0.0033911,0,0,0,0,0,0,package://TH01/meshes/HIP_ABAD_L.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH01/meshes/HIP_ABAD_L.STL,,TH01-HIPPITCH_DUMMY-1,HIP_ROLL_L,HIP_ROLL_L_AXIS,HIP_ROLL_L,revolute,0.141,0,0,-1.5708,0,1.5708,HIP_L,0,0,1,0,0,0,0,,,,,,,,
FEMUR_L,0.11352,0.012931,-0.024704,0,0,0,2.9799,0.0063149,-0.0024972,-0.0038808,0.048482,-0.00013252,0.052755,0,0,0,0,0,0,package://TH01/meshes/FEMUR_L.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH01/meshes/FEMUR_L.STL,,TH01-FEMUR_DUMMY-1,HIP_PITCH_L,HIP_PITCH_L_AXIS,HIP_PITCH_L,revolute,0.029,0,0,-1.5708,0.7854,1.5708,HIP_ABAD_L,0,0,1,0,0,0,0,,,,,,,,
TIBIA_L,0.14155,-2.2204E-16,1.3878E-17,0,0,0,0.47789,0.00011453,-6.0986E-20,-4.4743E-20,0.0068384,-4.319E-20,0.0068573,0,0,0,0,0,0,package://TH01/meshes/TIBIA_L.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH01/meshes/TIBIA_L.STL,,TH01-TIBIA_DUMMY-1,KNEE_PITCH_L,KNEE_PITCH_L_AXIS,KNEE_PITCH_L,revolute,0.375,0,0,0,0,0,FEMUR_L,0,0,1,0,0,0,0,,,,,,,,
ANKLE_L,-1.9412E-08,-1.1903E-07,-1.3285E-09,0,0,0,0.015159,1.6782E-06,5.9107E-12,-2.7967E-14,1.487E-06,-1.7347E-12,1.4133E-06,0,0,0,0,0,0,package://TH01/meshes/ANKLE_L.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH01/meshes/ANKLE_L.STL,,TH01-ANKLE_DUMMY-1,ANKLE_PITH_L,ANKLE_PITCH_L_AXIS,ANKLE_PITCH_L,revolute,0.375,0,0,0,0,0,TIBIA_L,0,0,1,0,0,0,0,,,,,,,,
FOOT_L,0.031776,-1.0686E-15,0.040697,0,0,0,0.061854,0.00018157,1.1674E-20,-5.8007E-06,0.00016508,-7.3851E-20,2.5049E-05,0,0,0,0,0,0,package://TH01/meshes/FOOT_L.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH01/meshes/FOOT_L.STL,,TH01-FOOT_DUMMY-1,ANKLE_ROLL_L,ANKLE_ROLL_L_AXIS,ANKLE_ROLL_L,revolute,0,0,0,-1.5708,0,0,ANKLE_L,0,0,1,0,0,0,0,,,,,,,,
